OID_,COUNTRY,FREQUENCY,COUNT_COUNTRY,natpctg,PLAY_FOR_BIRTH,BORN_IN_VS_NAT,TOT_WC_PCTG
1,Angola,2,2,,,,
2,Argentina,29,29,1.1153846153846154,26.0,1.1153846153846154,0.03485576923076923
3,Australia,17,17,0.6538461538461539,18.0,0.6538461538461539,0.020432692307692308
4,Austria,2,2,,,,
5,Bahrain,1,1,,,,
6,Belgium,30,30,1.1538461538461535,26.0,1.1538461538461537,0.036057692307692304
7,Bosnia and Herzegovina,4,4,,,,
8,Brazil,29,29,1.1153846153846154,26.0,1.1153846153846154,0.03485576923076923
9,Cameroon,19,19,0.7307692307692307,17.0,0.7307692307692307,0.02283653846153846
10,Canada,19,19,0.7307692307692307,19.0,0.7307692307692307,0.02283653846153846
11,Colombia,1,1,,,,
12,Congo DRC,1,1,,,,
13,Costa Rica,25,25,0.9615384615384616,25.0,0.9615384615384616,0.030048076923076924
14,C̫te d'Ivoire,2,2,,,,
15,Croatia,14,14,0.5384615384615384,19.0,0.5384615384615384,0.016826923076923076
16,Denmark,26,26,1.0,25.0,1.0,0.03125
17,Ecuador,18,18,0.6923076923076923,24.0,0.6923076923076923,0.021634615384615384
18,Egypt,2,2,,,,
19,England,42,42,1.6153846153846154,25.0,1.6153846153846154,0.05048076923076923
20,France,59,59,2.269230769230769,22.0,2.269230769230769,0.07091346153846154
21,Germany,31,31,1.1923076923076923,24.0,1.1923076923076923,0.037259615384615384
22,Ghana,20,20,0.7692307692307693,18.0,0.7692307692307693,0.02403846153846154
23,Guinea-Bissau,2,2,,,,
24,Iran,24,24,0.9230769230769232,25.0,0.9230769230769231,0.028846153846153848
25,Iraq,2,2,,,,
26,Italy,3,3,,,,
27,Jamaica,1,1,,,,
28,Japan,22,22,0.8461538461538461,25.0,0.8461538461538461,0.026442307692307692
29,Kenya,2,2,,,,
30,Mexico,25,25,0.9615384615384616,25.0,0.9615384615384616,0.030048076923076924
31,Morocco,12,12,0.4615384615384615,12.0,0.46153846153846156,0.014423076923076924
32,Netherlands,30,30,1.1538461538461535,25.0,1.1538461538461537,0.036057692307692304
33,Nicaragua,1,1,,,,
34,Poland,24,24,0.9230769230769232,24.0,0.9230769230769231,0.028846153846153848
35,Portugal,18,18,0.6923076923076923,19.0,0.6923076923076923,0.021634615384615384
36,Qatar,16,16,0.6153846153846154,17.0,0.6153846153846154,0.019230769230769232
37,Saudi Arabia,26,26,1.0,26.0,1.0,0.03125
38,Scotland,4,4,,,,
39,Senegal,14,14,0.5384615384615384,15.0,0.5384615384615384,0.016826923076923076
40,Serbia,23,23,0.8846153846153846,22.0,0.8846153846153846,0.027644230769230768
41,South Korea,26,26,1.0,26.0,1.0,0.03125
42,Spain,30,30,1.1538461538461535,24.0,1.1538461538461537,0.036057692307692304
43,Sudan,2,2,,,,
44,Sweden,1,1,,,,
45,Switzerland,27,27,1.0384615384615383,23.0,1.0384615384615385,0.03245192307692308
46,Tunisia,14,14,0.5384615384615384,15.0,0.5384615384615384,0.016826923076923076
47,United States,22,22,0.8461538461538461,26.0,0.8461538461538461,0.026442307692307692
48,Uruguay,25,25,0.9615384615384616,25.0,0.9615384615384616,0.030048076923076924
49,Wales,16,16,0.6153846153846154,16.0,0.6153846153846154,0.019230769230769232
